kerajaan;orang;peran;ayah;ibu;pasangan;anak;namaKerajaan;ibuKota;agama;pendahulu;penerus;tahunMulai;wikidataID;tglLahir;tglMati;saudara;kerabat;dinasti;personWikidataID;source;confidence_score;manual_check;data_source;master_id
Majapahit;Kusumawardhani;;;;Wikramawardhana;;Majapahit;Trowulan;;Singhasari;Bruneian Sultanate;1292;http://www.wikidata.org/entity/Q49326;;;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q119359616;wikidata;1.0;False;;Kusumawardhani
Kesunanan Surakarta;Kanjeng Raden Mas Haryo Wuryaningrat;Ketua;;;;;;Surakarta;Kejawèn, Sunni Islam;Mataram Sultanate;Special Region of Surakarta;;;;;Kanjeng Raden Mas Haryo Sosrodiningrat V;;Kesunanan Surakarta;http://www.wikidata.org/entity/Q104765484;wikidata;1.0;False;;Kanjeng Raden Mas Haryo Wuryaningrat
Majapahit;Sunan Mertayasa;;Maulana Ishaq;;;;Majapahit;Trowulan;;Singhasari;Demak Sultanate;1292;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q137543347;wikidata;1.0;False;;Sunan Mertayasa
Majapahit;Sunan Mertayasa;;Maulana Ishaq;;;;Majapahit;Trowulan;;Singhasari;Pagaruyung Kingdom;1292;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q137543347;wikidata;1.0;False;;Sunan Mertayasa
Majapahit;Sunan Mertayasa;;Maulana Ishaq;;;;Majapahit;Trowulan;;Singhasari;Blambangan Kingdom;1292;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q137543347;wikidata;1.0;False;;Sunan Mertayasa
Majapahit;Sunan Mertayasa;;Maulana Ishaq;;;;Majapahit;Trowulan;;Singhasari;Malacca Sultanate;1292;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q137543347;wikidata;1.0;False;;Sunan Mertayasa
Majapahit;Sunan Mertayasa;;Maulana Ishaq;;;;Majapahit;Trowulan;;Singhasari;Sultanate of Gowa;1292;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q137543347;wikidata;1.0;False;;Sunan Mertayasa
Majapahit;Sunan Mertayasa;;Maulana Ishaq;;;;Majapahit;Trowulan;;Singhasari;Bruneian Sultanate;1292;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q137543347;wikidata;1.0;False;;Sunan Mertayasa
Kesultanan Banjar;Tamjidillah I dari Banjar;Sultan Banjar;Surya Alam dari Banjar;;;Tahmidullah II dari Banjar;;Banjarmasin, Martapura, South Kalimantan, Murung Raya Regency;Sunni Islam;Negara Daha;Dutch East Indies;1526;;;;;;;http://www.wikidata.org/entity/Q19741752;wikidata;1.0;False;;Tahmidullah II dari Banjar
Kesunanan Surakarta;Kanjeng Raden Mas Haryo Wuryaningrat;anggota parlemen;;;;;;Surakarta;Kejawèn, Sunni Islam;Mataram Sultanate;Special Region of Surakarta;;;;;Kanjeng Raden Mas Haryo Sosrodiningrat V;;Kesunanan Surakarta;http://www.wikidata.org/entity/Q104765484;wikidata;1.0;False;;Kanjeng Raden Mas Haryo Wuryaningrat
Kesultanan Siak Sri Inderapura;Sayyid Usman Syahabuddin;syekh;;;;Sultan Syarif Abdurrahman;;;;;;;;;;;;;http://www.wikidata.org/entity/Q135319723;wikidata;1.0;False;;Sayyid Usman Syahabuddin
Kesultanan Banjar;Muhammad Seman dari Banjar;Sultan Banjar;Pangeran Antasari;Nyai Fatimah;two Dayak princesses from the Ot Danum tribe;Gusti Berakit;;Banjarmasin, Martapura, South Kalimantan, Murung Raya Regency;Sunni Islam;Negara Daha;Dutch East Indies;1526;;1897-01-01T00:00:00Z;;;;;http://www.wikidata.org/entity/Q12499382;llm_imputed;0.9;False;Wikipedia Scrape;Muhammad Seman dari Banjar
Kesultanan Banjar;Rakyatullah dari Banjar;Sultan Banjar;Marhum Panembahan;Seorang selir dari suku Jawa;Andin Hayu, Nyai Mas Tapi;Raden Hangkut (Pangeran Aria Wiraraja), Puteri Samut (Puteri Galuh Hasanah), Puteri Kumkuma;;Banjarmasin, Martapura, South Kalimantan, Murung Raya Regency;Sunni Islam;Negara Daha;Dutch East Indies;1526;;;;;;;http://www.wikidata.org/entity/Q12507782;llm_imputed;0.9;False;Wikipedia Scrape;Rahmatullah dari Banjar
Kesultanan Banjar;Tamjidullah II dari Banjar;Sultan Banjar;Abdul Rahman dari Banjar;Nyai Biyar (Nyai Besar Aminah Putri Dayak Tionghoa);;;;Banjarmasin, Martapura, South Kalimantan, Murung Raya Regency;Sunni Islam;Negara Daha;Dutch East Indies;1526;;1817-01-01T00:00:00Z;;Hidayatullah II dari Banjar, Pangeran Ratu Rahmatullah;;;http://www.wikidata.org/entity/Q12519059;llm_imputed;0.9;False;Wikipedia Scrape;Tahmidullah II dari Banjar
Kerajaan Sunda;Prabu Gilingwesi;Raja (penguasa);Rakeyan Medang;;;;;;;;;;;;;;;Wangsa Sailendra;http://www.wikidata.org/entity/Q134481514;wikidata;1.0;False;;Prabu Gilingwesi
Kerajaan Sunda;Rakeyan Medang;Raja (penguasa);Hariang Banga;;;;;;;;;;;;;;;Wangsa Sailendra;http://www.wikidata.org/entity/Q134481418;wikidata;1.0;False;;Rakeyan Medang
Kesultanan Banjar;Patih Kuin;;;;;;;Banjarmasin, Martapura, South Kalimantan, Murung Raya Regency;Sunni Islam;Negara Daha;Dutch East Indies;1526;;;;;;;http://www.wikidata.org/entity/Q123755667;wikidata;1.0;False;;Patih Kuin
Kesultanan Siak Sri Inderapura;Sayyid Usman Syahabuddin;syekh;;;;Sayyid Ali dari Siak;;;;;;;;;;;;;http://www.wikidata.org/entity/Q135319723;wikidata;1.0;False;;Sayyid Usman Syahabuddin
Kerajaan Klungkung;Dewa Agung Gede;;Dewa Agung Jambe I;;;Dewa Agung Made;;;;;;;;;;;;;http://www.wikidata.org/entity/Q121154103;wikidata;1.0;False;;Dewa Agung Gede
Kerajaan Klungkung;Dewa Agung Made;;Dewa Agung Gede;;;Dewa Agung Śakti;;;;;;;;;;;;;http://www.wikidata.org/entity/Q121154105;wikidata;1.0;False;;Dewa Agung Made
Kerajaan Klungkung;Dewa Agung Śakti;;Dewa Agung Made;;;Dewa Agung Putra I Kusamba;;;;;;;;;;;;;http://www.wikidata.org/entity/Q121154107;wikidata;1.0;False;;Dewa Agung Śakti
Kesultanan Cirebon;Panembahan Ratu I;sultan;;;Glampok Raras;;;;;;;;;1547-01-01T00:00:00Z;1649-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q132673938;llm_imputed;0.8;False;Wikipedia Scrape;Panembahan Ratu I
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Bondan Kajawan;Majapahit;Trowulan;;Singhasari;Demak Sultanate;1292;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;wikidata;1.0;False;;Kertabhumi
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Bondan Kajawan;Majapahit;Trowulan;;Singhasari;Pagaruyung Kingdom;1292;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;wikidata;1.0;False;;Kertabhumi
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Bondan Kajawan;Majapahit;Trowulan;;Singhasari;Blambangan Kingdom;1292;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;wikidata;1.0;False;;Kertabhumi
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Bondan Kajawan;Majapahit;Trowulan;;Singhasari;Malacca Sultanate;1292;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;wikidata;1.0;False;;Kertabhumi
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Bondan Kajawan;Majapahit;Trowulan;;Singhasari;Sultanate of Gowa;1292;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;wikidata;1.0;False;;Kertabhumi
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Bondan Kajawan;Majapahit;Trowulan;;Singhasari;Bruneian Sultanate;1292;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;wikidata;1.0;False;;Kertabhumi
Kesultanan Banjar;Hidayatullah I dari Banjar;Sultan Banjar;;;;Mustain Billah dari Banjar;;Banjarmasin, Martapura, South Kalimantan, Murung Raya Regency;Sunni Islam;Negara Daha;Dutch East Indies;1526;;;1595-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q4272717;wikidata;1.0;False;;Rahmatullah dari Banjar
Kesultanan Cirebon;Pangeran Walangsungsang;Tumenggung;Sri Baduga Maharaja;;;;;;;;;;;1423-01-01T00:00:00Z;1529-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q131955027;wikidata;1.0;False;;Pangeran Walangsungsang
Kesultanan Demak;Sunan Demak;;Sunan Ampel;;;;;;Islam;Demak Sultanate;Mataram Sultanate;1568;;1473-01-01T00:00:00Z;1570-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q135552791;wikidata;1.0;False;;Sunan Demak
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Raden Patah;Majapahit;Trowulan;;Singhasari;Demak Sultanate;1292;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;wikidata;1.0;False;;Kertabhumi
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Raden Patah;Majapahit;Trowulan;;Singhasari;Pagaruyung Kingdom;1292;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;wikidata;1.0;False;;Kertabhumi
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Raden Patah;Majapahit;Trowulan;;Singhasari;Blambangan Kingdom;1292;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;wikidata;1.0;False;;Kertabhumi
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Raden Patah;Majapahit;Trowulan;;Singhasari;Malacca Sultanate;1292;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;wikidata;1.0;False;;Kertabhumi
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Raden Patah;Majapahit;Trowulan;;Singhasari;Sultanate of Gowa;1292;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;wikidata;1.0;False;;Kertabhumi
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Raden Patah;Majapahit;Trowulan;;Singhasari;Bruneian Sultanate;1292;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;wikidata;1.0;False;;Kertabhumi
Majapahit;Sunan Demak;;Sunan Ampel;;;;Majapahit;Trowulan;Islam;Singhasari;Demak Sultanate;1568;http://www.wikidata.org/entity/Q49326;1473-01-01T00:00:00Z;1570-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q135552791;wikidata;1.0;False;;Sunan Demak
Majapahit;Sunan Demak;;Sunan Ampel;;;;Majapahit;Trowulan;Islam;Singhasari;Pagaruyung Kingdom;1568;http://www.wikidata.org/entity/Q49326;1473-01-01T00:00:00Z;1570-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q135552791;wikidata;1.0;False;;Sunan Demak
Majapahit;Sunan Demak;;Sunan Ampel;;;;Majapahit;Trowulan;Islam;Singhasari;Blambangan Kingdom;1568;http://www.wikidata.org/entity/Q49326;1473-01-01T00:00:00Z;1570-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q135552791;wikidata;1.0;False;;Sunan Demak
Majapahit;Sunan Demak;;Sunan Ampel;;;;Majapahit;Trowulan;Islam;Singhasari;Malacca Sultanate;1568;http://www.wikidata.org/entity/Q49326;1473-01-01T00:00:00Z;1570-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q135552791;wikidata;1.0;False;;Sunan Demak
Majapahit;Sunan Demak;;Sunan Ampel;;;;Majapahit;Trowulan;Islam;Singhasari;Sultanate of Gowa;1568;http://www.wikidata.org/entity/Q49326;1473-01-01T00:00:00Z;1570-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q135552791;wikidata;1.0;False;;Sunan Demak
Majapahit;Sunan Demak;;Sunan Ampel;;;;Majapahit;Trowulan;Islam;Singhasari;Bruneian Sultanate;1568;http://www.wikidata.org/entity/Q49326;1473-01-01T00:00:00Z;1570-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q135552791;wikidata;1.0;False;;Sunan Demak
Majapahit;Raden Hamzah;;Sunan Ampel;;;Sunan Bayat;Majapahit;Trowulan;;Singhasari;Demak Sultanate;;http://www.wikidata.org/entity/Q49326;1423-01-01T00:00:00Z;1478-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q133605804;wikidata;1.0;False;;Raden Hamzah
Majapahit;Raden Hamzah;;Sunan Ampel;;;Sunan Bayat;Majapahit;Trowulan;;Singhasari;Pagaruyung Kingdom;;http://www.wikidata.org/entity/Q49326;1423-01-01T00:00:00Z;1478-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q133605804;wikidata;1.0;False;;Raden Hamzah
Majapahit;Raden Hamzah;;Sunan Ampel;;;Sunan Bayat;Majapahit;Trowulan;;Singhasari;Blambangan Kingdom;;http://www.wikidata.org/entity/Q49326;1423-01-01T00:00:00Z;1478-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q133605804;wikidata;1.0;False;;Raden Hamzah
Majapahit;Raden Hamzah;;Sunan Ampel;;;Sunan Bayat;Majapahit;Trowulan;;Singhasari;Malacca Sultanate;;http://www.wikidata.org/entity/Q49326;1423-01-01T00:00:00Z;1478-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q133605804;wikidata;1.0;False;;Raden Hamzah
Majapahit;Raden Hamzah;;Sunan Ampel;;;Sunan Bayat;Majapahit;Trowulan;;Singhasari;Sultanate of Gowa;;http://www.wikidata.org/entity/Q49326;1423-01-01T00:00:00Z;1478-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q133605804;wikidata;1.0;False;;Raden Hamzah
Majapahit;Raden Hamzah;;Sunan Ampel;;;Sunan Bayat;Majapahit;Trowulan;;Singhasari;Bruneian Sultanate;;http://www.wikidata.org/entity/Q49326;1423-01-01T00:00:00Z;1478-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q133605804;wikidata;1.0;False;;Raden Hamzah
Kesultanan Siak Sri Inderapura;Abdul Jalil Syah dari Siak;Sultan Johor;Mahmud Syah II dari Johor;;;Mahmud dari Siak;;;;;;;;http://www.wikidata.org/.well-known/genid/3a4ab4bd80af2264d5e0a0c45a341902;1746-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q11169169;wikidata;1.0;False;;Abdul Jalil Syah dari Siak
Kesultanan Banjar;Tahmidullah II dari Banjar;Sultan Banjar;Tamjidillah I dari Banjar;;;Sulaiman dari Banjar;;;;;;;;1727-01-01T00:00:00Z;1801-04-19T00:00:00Z;;;;http://www.wikidata.org/entity/Q12517718;wikidata;1.0;False;;Tahmidullah II dari Banjar
Majapahit;Suraprabhawa;Kaisar;Kertawijaya;;;;Majapahit;Trowulan;;Singhasari;Demak Sultanate;1292;http://www.wikidata.org/entity/Q49326;http://www.wikidata.org/.well-known/genid/d19d70b480afeed45b16fcc26c548741;1474-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q19748670;wikidata;1.0;False;;Suraprabhawa
Majapahit;Suraprabhawa;Kaisar;Kertawijaya;;;;Majapahit;Trowulan;;Singhasari;Pagaruyung Kingdom;1292;http://www.wikidata.org/entity/Q49326;http://www.wikidata.org/.well-known/genid/d19d70b480afeed45b16fcc26c548741;1474-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q19748670;wikidata;1.0;False;;Suraprabhawa
Majapahit;Suraprabhawa;Kaisar;Kertawijaya;;;;Majapahit;Trowulan;;Singhasari;Blambangan Kingdom;1292;http://www.wikidata.org/entity/Q49326;http://www.wikidata.org/.well-known/genid/d19d70b480afeed45b16fcc26c548741;1474-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q19748670;wikidata;1.0;False;;Suraprabhawa
Majapahit;Suraprabhawa;Kaisar;Kertawijaya;;;;Majapahit;Trowulan;;Singhasari;Malacca Sultanate;1292;http://www.wikidata.org/entity/Q49326;http://www.wikidata.org/.well-known/genid/d19d70b480afeed45b16fcc26c548741;1474-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q19748670;wikidata;1.0;False;;Suraprabhawa
Majapahit;Suraprabhawa;Kaisar;Kertawijaya;;;;Majapahit;Trowulan;;Singhasari;Sultanate of Gowa;1292;http://www.wikidata.org/entity/Q49326;http://www.wikidata.org/.well-known/genid/d19d70b480afeed45b16fcc26c548741;1474-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q19748670;wikidata;1.0;False;;Suraprabhawa
Majapahit;Suraprabhawa;Kaisar;Kertawijaya;;;;Majapahit;Trowulan;;Singhasari;Bruneian Sultanate;1292;http://www.wikidata.org/entity/Q49326;http://www.wikidata.org/.well-known/genid/d19d70b480afeed45b16fcc26c548741;1474-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q19748670;wikidata;1.0;False;;Suraprabhawa
Kesultanan Banjar;Mustain Billah dari Banjar;Sultan Banjar;Hidayatullah I dari Banjar;;;Inayatullah dari Banjar;;Banjarmasin, Martapura, South Kalimantan, Murung Raya Regency;Sunni Islam;Negara Daha;Dutch East Indies;1526;;;1638-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q19752264;wikidata;1.0;False;;Mustain Billah dari Banjar
Majapahit;Ra Kuti;;;;;;Majapahit;Trowulan;;Singhasari;Demak Sultanate;1292;http://www.wikidata.org/entity/Q49326;;1319-01-01T00:00:00Z;Ra Semi, Ra Tanca, Ra Wedeng, Ra Yuyu, Ra Banyak, Ra Pangsa;;;http://www.wikidata.org/entity/Q119347221;llm_imputed;0.8;False;Wikipedia Scrape;Ra Kuti
Majapahit;Ra Kuti;;;;;;Majapahit;Trowulan;;Singhasari;Pagaruyung Kingdom;1292;http://www.wikidata.org/entity/Q49326;;1319-01-01T00:00:00Z;Ra Semi, Ra Tanca, Ra Wedeng, Ra Yuyu, Ra Banyak, Ra Pangsa;;;http://www.wikidata.org/entity/Q119347221;llm_imputed;0.8;False;Wikipedia Scrape;Ra Kuti
