kerajaan;orang;peran;ayah;ibu;pasangan;anak;namaKerajaan;ibuKota;agama;pendahulu;penerus;tahunMulai;wikidataID;tglLahir;tglMati;saudara;kerabat;dinasti;personWikidataID;source;confidence_score;manual_check;data_source;master_id;orang_PageRank;orang_Louvain_Cluster;orang_Betweenness;orang_AdamicAdar_Avg;kerajaan_PageRank;kerajaan_Louvain_Cluster;kerajaan_Betweenness
Kerajaan Sunda;Prabu Gilingwesi;Raja (penguasa);Rakeyan Medang;;;;;;;;;;;;;;;Wangsa Sailendra;http://www.wikidata.org/entity/Q134481514;wikidata;1.0;False;;Prabu Gilingwesi;0.0019439780925336215;5;0.0;0.679115792973057;0.006164908013425225;5;0.0051334023345408555
Kerajaan Sunda;Rakeyan Medang;Raja (penguasa);Hariang Banga;;;;;;;;;;;;;;;Wangsa Sailendra;http://www.wikidata.org/entity/Q134481418;wikidata;1.0;False;;Rakeyan Medang;0.0027702880970530666;5;0.0017422804899085735;0.6213349345596119;0.006164908013425225;5;0.0051334023345408555
Kesultanan Banjar;Patih Kuin;;;;;;;Banjarmasin, Martapura, South Kalimantan, Murung Raya Regency;Sunni Islam;Negara Daha;Dutch East Indies;1526.0;;;;;;;http://www.wikidata.org/entity/Q123755667;wikidata;1.0;False;;Patih Kuin;0.0019439780925336215;1;0.0;0.3235154531486725;0.023729428793184494;1;0.024912310965441893
Kesultanan Siak Sri Inderapura;Sayyid Usman Syahabuddin;syekh;;;;Sayyid Ali dari Siak;;;;;;;;;;;;;http://www.wikidata.org/entity/Q135319723;wikidata;1.0;False;;Sayyid Usman Syahabuddin;0.0019439780925336215;2;0.00039675694324650684;0.5581106265512472;0.007177274787823441;2;0.0011902708297395206
Kerajaan Klungkung;Dewa Agung Gede;;Dewa Agung Jambe I;;;Dewa Agung Made;;;;;;;;;;;;;http://www.wikidata.org/entity/Q121154103;wikidata;1.0;False;;Dewa Agung Gede;0.004085159193560898;7;1.7250301880282906e-05;0.5446183970451035;0.014440650974507804;7;0.0013023977919613594
Kerajaan Klungkung;Dewa Agung Made;;Dewa Agung Gede;;;Dewa Agung Śakti;;;;;;;;;;;;;http://www.wikidata.org/entity/Q121154105;wikidata;1.0;False;;Dewa Agung Made;0.004456275212895313;7;8.625150940141453e-06;0.5990802367496139;0.014440650974507804;7;0.0013023977919613594
Kerajaan Klungkung;Dewa Agung Śakti;;Dewa Agung Made;;;Dewa Agung Putra I Kusamba;;;;;;;;;;;;;http://www.wikidata.org/entity/Q121154107;wikidata;1.0;False;;Dewa Agung Śakti;0.004784210706384476;7;8.625150940141453e-06;0.5990802367496137;0.014440650974507804;7;0.0013023977919613594
Kesultanan Cirebon;Panembahan Ratu I;sultan;;;Glampok Raras;;;;;;;;;1547-01-01T00:00:00Z;1649-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q132673938;llm_imputed;0.8;False;Wikipedia Scrape;Panembahan Ratu I;0.0019439780925336215;5;0.0017422804899085735;0.7213475204444816;0.004770561299687042;5;0.005051463400609512
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Bondan Kajawan;Majapahit;Trowulan;;Singhasari;Demak Sultanate;;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;wikidata;1.0;False;;Kertabhumi;0.0023224663901732162;8;0.008538899430740038;0.41375153097898865;0.011990200389390741;8;0.059277787361278825
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Bondan Kajawan;Majapahit;Trowulan;;Singhasari;Pagaruyung Kingdom;;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;wikidata;1.0;False;;Kertabhumi;0.0023224663901732162;8;0.008538899430740038;0.41375153097898865;0.011990200389390741;8;0.059277787361278825
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Bondan Kajawan;Majapahit;Trowulan;;Singhasari;Blambangan Kingdom;;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;wikidata;1.0;False;;Kertabhumi;0.0023224663901732162;8;0.008538899430740038;0.41375153097898865;0.011990200389390741;8;0.059277787361278825
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Bondan Kajawan;Majapahit;Trowulan;;Singhasari;Malacca Sultanate;;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;wikidata;1.0;False;;Kertabhumi;0.0023224663901732162;8;0.008538899430740038;0.41375153097898865;0.011990200389390741;8;0.059277787361278825
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Bondan Kajawan;Majapahit;Trowulan;;Singhasari;Sultanate of Gowa;;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;wikidata;1.0;False;;Kertabhumi;0.0023224663901732162;8;0.008538899430740038;0.41375153097898865;0.011990200389390741;8;0.059277787361278825
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Bondan Kajawan;Majapahit;Trowulan;;Singhasari;Bruneian Sultanate;;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;wikidata;1.0;False;;Kertabhumi;0.0023224663901732162;8;0.008538899430740038;0.41375153097898865;0.011990200389390741;8;0.059277787361278825
Kesultanan Banjar;Hidayatullah I dari Banjar;Sultan Banjar;;;;Mustain Billah dari Banjar;;Banjarmasin, Martapura, South Kalimantan, Murung Raya Regency;Sunni Islam;Negara Daha;Dutch East Indies;1526.0;;;1595-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q4272717;wikidata;1.0;False;;Rahmatullah dari Banjar;0.003129950846028953;1;0.0;0.3668601782261411;0.023729428793184494;1;0.024912310965441893
Kesultanan Cirebon;Pangeran Walangsungsang;Tumenggung;Sri Baduga Maharaja;;;;;;;;;;;1423-01-01T00:00:00Z;1529-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q131955027;wikidata;1.0;False;;Pangeran Walangsungsang;0.0028628254536632192;5;0.0001293772641021218;0.9266035876997885;0.004770561299687042;5;0.005051463400609512
Kesultanan Demak;Sunan Demak;;Sunan Ampel;;;;;;Islam;Demak Sultanate;Mataram Sultanate;1568.0;;1473-01-01T00:00:00Z;1570-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q135552791;wikidata;1.0;False;;Sunan Demak;0.0019439780925336215;9;0.024840434707607384;0.5384877786794758;0.004298662567649228;9;0.04616755793226381
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Raden Patah;Majapahit;Trowulan;;Singhasari;Demak Sultanate;;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;wikidata;1.0;False;;Kertabhumi;0.0023224663901732162;8;0.008538899430740038;0.41375153097898865;0.011990200389390741;8;0.059277787361278825
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Raden Patah;Majapahit;Trowulan;;Singhasari;Pagaruyung Kingdom;;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;wikidata;1.0;False;;Kertabhumi;0.0023224663901732162;8;0.008538899430740038;0.41375153097898865;0.011990200389390741;8;0.059277787361278825
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Raden Patah;Majapahit;Trowulan;;Singhasari;Blambangan Kingdom;;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;wikidata;1.0;False;;Kertabhumi;0.0023224663901732162;8;0.008538899430740038;0.41375153097898865;0.011990200389390741;8;0.059277787361278825
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Raden Patah;Majapahit;Trowulan;;Singhasari;Malacca Sultanate;;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;wikidata;1.0;False;;Kertabhumi;0.0023224663901732162;8;0.008538899430740038;0.41375153097898865;0.011990200389390741;8;0.059277787361278825
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Raden Patah;Majapahit;Trowulan;;Singhasari;Sultanate of Gowa;;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;wikidata;1.0;False;;Kertabhumi;0.0023224663901732162;8;0.008538899430740038;0.41375153097898865;0.011990200389390741;8;0.059277787361278825
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Raden Patah;Majapahit;Trowulan;;Singhasari;Bruneian Sultanate;;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;wikidata;1.0;False;;Kertabhumi;0.0023224663901732162;8;0.008538899430740038;0.41375153097898865;0.011990200389390741;8;0.059277787361278825
Majapahit;Sunan Demak;;Sunan Ampel;;;;Majapahit;Trowulan;Islam;Singhasari;Demak Sultanate;1568.0;http://www.wikidata.org/entity/Q49326;1473-01-01T00:00:00Z;1570-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q135552791;wikidata;1.0;False;;Sunan Demak;0.0019439780925336215;9;0.024840434707607384;0.5384877786794758;0.011990200389390741;8;0.059277787361278825
Majapahit;Sunan Demak;;Sunan Ampel;;;;Majapahit;Trowulan;Islam;Singhasari;Pagaruyung Kingdom;1568.0;http://www.wikidata.org/entity/Q49326;1473-01-01T00:00:00Z;1570-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q135552791;wikidata;1.0;False;;Sunan Demak;0.0019439780925336215;9;0.024840434707607384;0.5384877786794758;0.011990200389390741;8;0.059277787361278825
Majapahit;Sunan Demak;;Sunan Ampel;;;;Majapahit;Trowulan;Islam;Singhasari;Blambangan Kingdom;1568.0;http://www.wikidata.org/entity/Q49326;1473-01-01T00:00:00Z;1570-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q135552791;wikidata;1.0;False;;Sunan Demak;0.0019439780925336215;9;0.024840434707607384;0.5384877786794758;0.011990200389390741;8;0.059277787361278825
